Weapon Class,Base Weapon,Weapon Name,ID,sortId,Physical Graph,Magic Graph,Fire Graph,Lightning Graph,Holy Graph,Poison Graph,Bleed Graph,Sleep Graph,Madness Graph,Base Str Scale,Base Dex Scale,Base Int Scale,Base Fth Scale, Base Arc Scale,reinforceTypeId
Dagger,Parrying Dagger,Lightning Parrying Dagger,1020600,1001007,0,0,0,4,0,6,6,6,6,9,46,0,0,0,600
Dagger,Parrying Dagger,Sacred Parrying Dagger,1020700,1001008,0,0,0,0,4,6,6,6,6,4,22,0,50,0,700
Dagger,Parrying Dagger,Magic Parrying Dagger,1020800,1001004,0,4,0,0,0,6,6,6,6,4,22,55,0,0,800
Dagger,Parrying Dagger,Cold Parrying Dagger,1020900,1001011,0,0,0,0,0,6,6,6,6,14,68,41,0,0,900
Dagger,Parrying Dagger,Poison Parrying Dagger,1021000,1001009,0,0,0,0,0,6,6,6,6,15,72,0,0,30,1000
Dagger,Parrying Dagger,Blood Parrying Dagger,1021100,1001010,0,0,0,0,0,6,6,6,6,15,72,0,0,30,1100
Dagger,Parrying Dagger,Occult Parrying Dagger,1021200,1001012,7,0,0,0,0,6,6,6,6,6,30,0,0,78,1200
Dagger,Miséricorde,Miséricorde,1030000,1002000,0,0,0,0,0,6,6,6,6,15,50,0,0,0,0
Dagger,Miséricorde,Heavy Miséricorde,1030100,1002001,1,0,0,0,0,6,6,6,6,38,0,0,0,0,100
Dagger,Miséricorde,Keen Miséricorde,1030200,1002002,2,0,0,0,0,6,6,6,6,13,48,0,0,0,5000
Dagger,Miséricorde,Quality Miséricorde,1030300,1002003,8,0,0,0,0,6,6,6,6,45,45,0,0,0,300
Dagger,Miséricorde,Fire Miséricorde,1030400,1002005,0,0,4,0,0,6,6,6,6,29,6,0,0,0,400
Dagger,Miséricorde,Flame Art Miséricorde,1030500,1002006,0,0,4,0,0,6,6,6,6,4,15,0,26,0,500
Dagger,Miséricorde,Lightning Miséricorde,1030600,1002007,0,0,0,4,0,6,6,6,6,6,29,0,0,0,600
Dagger,Miséricorde,Sacred Miséricorde,1030700,1002008,0,0,0,0,4,6,6,6,6,4,15,0,26,0,700
Dagger,Miséricorde,Magic Miséricorde,1030800,1002004,0,4,0,0,0,6,6,6,6,4,15,29,0,0,800
Dagger,Miséricorde,Cold Miséricorde,1030900,1002011,0,0,0,0,0,6,6,6,6,13,45,22,0,0,900
Dagger,Miséricorde,Poison Miséricorde,1031000,1002009,0,0,0,0,0,6,6,6,6,14,47,0,0,30,1000
Dagger,Miséricorde,Blood Miséricorde,1031100,1002010,0,0,0,0,0,6,6,6,6,14,47,0,0,30,1100
Dagger,Miséricorde,Occult Miséricorde,1031200,1002012,7,0,0,0,0,6,6,6,6,6,20,0,0,58,1200
Dagger,Great Knife,Great Knife,1090000,1003000,0,0,0,0,0,6,6,6,6,5,80,0,0,0,0
Dagger,Great Knife,Heavy Great Knife,1090100,1003001,1,0,0,0,0,6,6,6,6,54,0,0,0,0,100
Dagger,Great Knife,Keen Great Knife,1090200,1003002,2,0,0,0,0,6,6,6,6,17,72,0,0,0,5000
Dagger,Great Knife,Quality Great Knife,1090300,1003003,8,0,0,0,0,6,6,6,6,62,62,0,0,0,300
Dagger,Great Knife,Fire Great Knife,1090400,1003005,0,0,4,0,0,6,6,6,6,46,8,0,0,0,400
Dagger,Great Knife,Flame Art Great Knife,1090500,1003006,0,0,4,0,0,6,6,6,6,4,24,0,51,0,500
Dagger,Great Knife,Lightning Great Knife,1090600,1003007,0,0,0,4,0,6,6,6,6,8,46,0,0,0,600
Dagger,Great Knife,Sacred Great Knife,1090700,1003008,0,0,0,0,4,6,6,6,6,4,24,0,51,0,700
Dagger,Great Knife,Magic Great Knife,1090800,1003004,0,4,0,0,0,6,6,6,6,4,24,55,0,0,800
Dagger,Great Knife,Cold Great Knife,1090900,1003011,0,0,0,0,0,6,6,6,6,4,72,42,0,0,900
Dagger,Great Knife,Poison Great Knife,1091000,1003009,0,0,0,0,0,6,6,6,6,4,76,0,0,30,1000
Dagger,Great Knife,Blood Great Knife,1091100,1003010,0,0,0,0,0,6,6,6,6,4,76,0,0,30,1100
Dagger,Great Knife,Occult Great Knife,1091200,1003012,7,0,0,0,0,6,6,6,6,4,32,0,0,80,1200
Dagger,Bloodstained Dagger,Bloodstained Dagger,1140000,1004000,0,0,0,0,0,6,6,6,6,70,20,0,0,0,0
Dagger,Bloodstained Dagger,Heavy Bloodstained Dagger,1140100,1004001,1,0,0,0,0,6,6,6,6,67,0,0,0,0,6000
Dagger,Bloodstained Dagger,Keen Bloodstained Dagger,1140200,1004002,2,0,0,0,0,6,6,6,6,13,48,0,0,0,200
Dagger,Bloodstained Dagger,Quality Bloodstained Dagger,1140300,1004003,8,0,0,0,0,6,6,6,6,58,58,0,0,0,300
Dagger,Bloodstained Dagger,Fire Bloodstained Dagger,1140400,1004005,0,0,4,0,0,6,6,6,6,43,9,0,0,0,400
Dagger,Bloodstained Dagger,Flame Art Bloodstained Dagger,1140500,1004006,0,0,4,0,0,6,6,6,6,21,6,0,46,0,500
Dagger,Bloodstained Dagger,Lightning Bloodstained Dagger,1140600,1004007,0,0,0,4,0,6,6,6,6,9,43,0,0,0,600
Dagger,Bloodstained Dagger,Sacred Bloodstained Dagger,1140700,1004008,0,0,0,0,4,6,6,6,6,21,6,0,46,0,700
Dagger,Bloodstained Dagger,Magic Bloodstained Dagger,1140800,1004004,0,4,0,0,0,6,6,6,6,21,6,50,0,0,800
Dagger,Bloodstained Dagger,Cold Bloodstained Dagger,1140900,1004011,0,0,0,0,0,6,6,6,6,63,18,40,0,0,900
Dagger,Bloodstained Dagger,Poison Bloodstained Dagger,1141000,1004009,0,0,0,0,0,6,6,6,6,66,19,0,0,30,1000
Dagger,Bloodstained Dagger,Blood Bloodstained Dagger,1141100,1004010,0,0,0,0,0,6,6,6,6,66,19,0,0,30,1100
Dagger,Bloodstained Dagger,Occult Bloodstained Dagger,1141200,1004012,7,0,0,0,0,6,6,6,6,28,8,0,0,76,1200
Dagger,Erdsteel Dagger,Erdsteel Dagger,1150000,1005000,0,0,0,0,0,6,6,6,6,30,30,0,30,0,0
Dagger,Erdsteel Dagger,Heavy Erdsteel Dagger,1150100,1005001,1,0,0,0,0,6,6,6,6,50,0,0,24,0,100
Dagger,Erdsteel Dagger,Keen Erdsteel Dagger,1150200,1005002,2,0,0,0,0,6,6,6,6,9,52,0,24,0,200
Dagger,Erdsteel Dagger,Quality Erdsteel Dagger,1150300,1005003,8,0,0,0,0,6,6,6,6,63,63,0,24,0,300
Dagger,Erdsteel Dagger,Fire Erdsteel Dagger,1150400,1005005,0,0,4,0,0,6,6,6,6,41,9,0,24,0,400
Dagger,Erdsteel Dagger,Flame Art Erdsteel Dagger,1150500,1005006,0,0,4,0,0,6,6,6,6,9,9,0,55,0,500
Dagger,Erdsteel Dagger,Lightning Erdsteel Dagger,1150600,1005007,0,0,0,4,0,6,6,6,6,9,41,0,24,0,600
Dagger,Erdsteel Dagger,Sacred Erdsteel Dagger,1150700,1005008,0,0,0,0,4,6,6,6,6,9,9,0,55,0,700
Dagger,Erdsteel Dagger,Magic Erdsteel Dagger,1150800,1005004,0,4,0,0,0,6,6,6,6,9,9,50,24,0,800
Dagger,Erdsteel Dagger,Cold Erdsteel Dagger,1150900,1005011,0,0,0,0,0,6,6,6,6,27,27,49,24,0,900
Dagger,Erdsteel Dagger,Poison Erdsteel Dagger,1151000,1005009,0,0,0,0,0,6,6,6,6,28,28,0,24,30,1000
Dagger,Erdsteel Dagger,Blood Erdsteel Dagger,1151100,1005010,0,0,0,0,0,6,6,6,6,28,28,0,24,30,1100
Dagger,Erdsteel Dagger,Occult Erdsteel Dagger,1151200,1005012,7,0,0,0,0,6,6,6,6,12,12,0,24,79,1200
Dagger,Wakizashi,Wakizashi,1100000,1006000,0,0,0,0,0,6,6,6,6,34,45,0,0,0,0
Dagger,Wakizashi,Heavy Wakizashi,1100100,1006001,1,0,0,0,0,6,6,6,6,44,0,0,0,0,100
Dagger,Wakizashi,Keen Wakizashi,1100200,1006002,2,0,0,0,0,6,6,6,6,7,45,0,0,0,200
Dagger,Wakizashi,Quality Wakizashi,1100300,1006003,8,0,0,0,0,6,6,6,6,55,55,0,0,0,300
Dagger,Wakizashi,Fire Wakizashi,1100400,1006005,0,0,4,0,0,6,6,6,6,34,7,0,0,0,400
Dagger,Wakizashi,Flame Art Wakizashi,1100500,1006006,0,0,4,0,0,6,6,6,6,10,13,0,37,0,500
Dagger,Wakizashi,Lightning Wakizashi,1100600,1006007,0,0,0,4,0,6,6,6,6,7,34,0,0,0,600
Dagger,Wakizashi,Sacred Wakizashi,1100700,1006008,0,0,0,0,4,6,6,6,6,10,13,0,37,0,700
Dagger,Wakizashi,Magic Wakizashi,1100800,1006004,0,4,0,0,0,6,6,6,6,10,13,39,0,0,800
Dagger,Wakizashi,Cold Wakizashi,1100900,1006011,0,0,0,0,0,6,6,6,6,30,40,35,0,0,900
Dagger,Wakizashi,Poison Wakizashi,1101000,1006009,0,0,0,0,0,6,6,6,6,32,42,0,0,30,1000
Dagger,Wakizashi,Blood Wakizashi,1101100,1006010,0,0,0,0,0,6,6,6,6,32,42,0,0,30,1100
Dagger,Wakizashi,Occult Wakizashi,1101200,1006012,7,0,0,0,0,6,6,6,6,13,18,0,0,67,1200
Dagger,Celebrant's Sickle,Celebrant's Sickle,1060000,1007000,0,0,0,0,0,6,6,6,6,15,67,0,0,0,0
Dagger,Celebrant's Sickle,Celebrant's Heavy Sickle,1060100,1007001,1,0,0,0,0,6,6,6,6,49,0,0,0,0,100
Dagger,Celebrant's Sickle,Celebrant's Keen Sickle,1060200,1007002,2,0,0,0,0,6,6,6,6,16,69,0,0,0,5000
Dagger,Celebrant's Sickle,Celebrant's Quality Sickle,1060300,1007003,8,0,0,0,0,6,6,6,6,57,57,0,0,0,300
Dagger,Celebrant's Sickle,Celebrant's Fire Sickle,1060400,1007005,0,0,4,0,0,6,6,6,6,41,8,0,0,0,400
Dagger,Celebrant's Sickle,Celebrant's Flame Art Sickle,1060500,1007006,0,0,4,0,0,6,6,6,6,4,20,0,44,0,500
Dagger,Celebrant's Sickle,Celebrant's Lightning Sickle,1060600,1007007,0,0,0,4,0,6,6,6,6,8,41,0,0,0,600
Dagger,Celebrant's Sickle,Celebrant's Sacred Sickle,1060700,1007008,0,0,0,0,4,6,6,6,6,4,20,0,44,0,700
Dagger,Celebrant's Sickle,Celebrant's Magic Sickle,1060800,1007004,0,4,0,0,0,6,6,6,6,4,20,48,0,0,800
Dagger,Celebrant's Sickle,Celebrant's Cold Sickle,1060900,1007011,0,0,0,0,0,6,6,6,6,13,60,36,0,0,900
Dagger,Celebrant's Sickle,Celebrant's Poison Sickle,1061000,1007009,0,0,0,0,0,6,6,6,6,14,63,0,0,30,1000
Dagger,Celebrant's Sickle,Celebrant's Blood Sickle,1061100,1007010,0,0,0,0,0,6,6,6,6,14,63,0,0,30,1100
Dagger,Celebrant's Sickle,Celebrant's Occult Sickle,1061200,1007012,7,0,0,0,0,6,6,6,6,6,26,0,0,73,1200
Dagger,Ivory Sickle,Ivory Sickle,1130000,1008000,0,4,0,0,0,6,6,6,6,23,59,40,0,0,0
Dagger,Crystal Knife,Crystal Knife,1050000,1009000,0,0,0,0,0,6,6,6,6,40,25,50,0,0,0
Dagger,Scorpion's Stinger,Scorpion's Stinger,1080000,1010000,0,0,0,0,0,6,6,6,6,30,70,0,0,0,2200
Dagger,Cinquedea,Cinquedea,1110000,1011000,0,0,0,0,0,6,6,6,6,57,17,0,0,0,2200
Dagger,Glintstone Kris,Glintstone Kris,1070000,1012000,0,4,0,0,0,6,6,6,6,10,45,40,0,0,2200
Dagger,Reduvia,Reduvia,1040000,1013000,7,0,0,0,0,6,6,6,6,10,40,0,0,55,2200
Dagger,Blade of Calling,Blade of Calling,1160000,1014000,0,0,0,0,4,6,6,6,6,25,38,0,75,0,2200
Dagger,Black Knife,Black Knife,1010000,1015000,0,0,0,0,4,6,6,6,6,10,55,0,35,0,2200
Straight Sword,Short Sword,Short Sword,2010000,1100000,0,0,0,0,0,6,6,6,6,37,48,0,0,0,0
Straight Sword,Short Sword,Heavy Short Sword,2010100,1100001,1,0,0,0,0,6,6,6,6,47,0,0,0,0,100
Straight Sword,Short Sword,Keen Short Sword,2010200,1100002,2,0,0,0,0,6,6,6,6,8,63,0,0,0,5000
Straight Sword,Short Sword,Quality Short Sword,2010300,1100003,8,0,0,0,0,6,6,6,6,55,55,0,0,0,300
Straight Sword,Short Sword,Fire Short Sword,2010400,1100005,0,0,4,0,0,6,6,6,6,37,8,0,0,0,400
Straight Sword,Short Sword,Flame Art Short Sword,2010500,1100006,0,0,4,0,0,6,6,6,6,7,9,0,46,0,500
Straight Sword,Short Sword,Lightning Short Sword,2010600,1100007,0,0,0,4,0,6,6,6,6,8,37,0,0,0,600
Straight Sword,Short Sword,Sacred Short Sword,2010700,1100008,0,0,0,0,4,6,6,6,6,7,9,0,46,0,700
Straight Sword,Short Sword,Magic Short Sword,2010800,1100004,0,4,0,0,0,6,6,6,6,5,7,46,0,0,800
Straight Sword,Short Sword,Cold Short Sword,2010900,1100011,0,4,0,0,0,6,6,6,6,33,43,42,0,0,900
Straight Sword,Short Sword,Poison Short Sword,2011000,1100009,0,0,0,0,0,6,6,6,6,35,45,0,0,30,1000
Straight Sword,Short Sword,Blood Short Sword,2011100,1100010,0,0,0,0,0,6,6,6,6,35,45,0,0,30,1100
Straight Sword,Short Sword,Occult Short Sword,2011200,1100012,7,0,0,0,0,6,6,6,6,14,19,0,0,72,1200
Straight Sword,Longsword,Longsword,2000000,1101000,0,0,0,0,0,6,6,6,6,50,33,0,0,0,0
Straight Sword,Longsword,Heavy Longsword,2000100,1101001,1,0,0,0,0,6,6,6,6,48,0,0,0,0,100
Straight Sword,Longsword,Keen Longsword,2000200,1101002,2,0,0,0,0,6,6,6,6,8,46,0,0,0,200
Straight Sword,Longsword,Quality Longsword,2000300,1101003,8,0,0,0,0,6,6,6,6,56,56,0,0,0,300
Straight Sword,Longsword,Fire Longsword,2000400,1101005,0,0,4,0,0,6,6,6,6,35,8,0,0,0,400
Straight Sword,Longsword,Flame Art Longsword,2000500,1101006,0,0,4,0,0,6,6,6,6,10,6,0,42,0,500
Straight Sword,Longsword,Lightning Longsword,2000600,1101007,0,0,0,4,0,6,6,6,6,8,35,0,0,0,600
Straight Sword,Longsword,Sacred Longsword,2000700,1101008,0,0,0,0,4,6,6,6,6,10,6,0,42,0,700
Straight Sword,Longsword,Magic Longsword,2000800,1101004,0,4,0,0,0,6,6,6,6,7,4,43,0,0,800
Straight Sword,Longsword,Cold Longsword,2000900,1101011,0,4,0,0,0,6,6,6,6,45,29,40,0,0,900
Straight Sword,Longsword,Poison Longsword,2001000,1101009,0,0,0,0,0,6,6,6,6,47,31,0,0,30,1000
Straight Sword,Longsword,Bloody Longsword,2001100,1101010,0,0,0,0,0,6,6,6,6,47,31,0,0,30,1100
Straight Sword,Longsword,Occult Longsword,2001200,1101012,7,0,0,0,0,6,6,6,6,20,13,0,0,70,1200
Straight Sword,Broadsword,Broadsword,2020000,1102000,0,0,0,0,0,6,6,6,6,55,22,0,0,0,0
Straight Sword,Broadsword,Heavy Broadsword,2020100,1102001,1,0,0,0,0,6,6,6,6,57,0,0,0,0,6000
Straight Sword,Broadsword,Keen Broadsword,2020200,1102002,2,0,0,0,0,6,6,6,6,7,41,0,0,0,200
Straight Sword,Broadsword,Quality Broadsword,2020300,1102003,8,0,0,0,0,6,6,6,6,50,50,0,0,0,300
Straight Sword,Broadsword,Fire Broadsword,2020400,1102005,0,0,4,0,0,6,6,6,6,32,7,0,0,0,400
Straight Sword,Broadsword,Flame Art Broadsword,2020500,1102006,0,0,4,0,0,6,6,6,6,11,4,0,36,0,500
Straight Sword,Broadsword,Lightning Broadsword,2020600,1102007,0,0,0,4,0,6,6,6,6,7,32,0,0,0,600
Straight Sword,Broadsword,Sacred Broadsword,2020700,1102008,0,0,0,0,4,6,6,6,6,11,4,0,36,0,700
Straight Sword,Broadsword,Magic Broadsword,2020800,1102004,0,4,0,0,0,6,6,6,6,8,4,37,0,0,800
Straight Sword,Broadsword,Cold Broadsword,2020900,1102011,0,4,0,0,0,6,6,6,6,49,19,30,0,0,900
Straight Sword,Broadsword,Poison Broadsword,2021000,1102009,0,0,0,0,0,6,6,6,6,52,20,0,0,30,1000
Straight Sword,Broadsword,Blood Broadsword,2021100,1102010,0,0,0,0,0,6,6,6,6,52,20,0,0,30,1100
Straight Sword,Broadsword,Occult Broadsword,2021200,1102012,7,0,0,0,0,6,6,6,6,22,8,0,0,65,1200
Straight Sword,Weathered Straight Sword,Weathered Straight Sword,2050000,1103000,0,0,0,0,0,6,6,6,6,34,44,0,0,0,0
Straight Sword,Weathered Straight Sword,Weathered Heavy Straight Sword,2050100,1103001,1,0,0,0,0,6,6,6,6,44,0,0,0,0,100
Straight Sword,Weathered Straight Sword,Weathered Keen Straight Sword,2050200,1103002,2,0,0,0,0,6,6,6,6,7,44,0,0,0,200
Straight Sword,Weathered Straight Sword,Weathered Quality Straight Sword,2050300,1103003,8,0,0,0,0,6,6,6,6,53,53,0,0,0,300
Straight Sword,Weathered Straight Sword,Weathered Fire Straight Sword,2050400,1103005,0,0,4,0,0,6,6,6,6,33,7,0,0,0,400
Straight Sword,Weathered Straight Sword,Weathered Flame Art Straight Sword,2050500,1103006,0,0,4,0,0,6,6,6,6,10,13,0,35,0,500
Straight Sword,Weathered Straight Sword,Weathered Lightning Straight Sword,2050600,1103007,0,0,0,4,0,6,6,6,6,7,33,0,0,0,600
Straight Sword,Weathered Straight Sword,Weathered Sacred Straight Sword,2050700,1103008,0,0,0,0,4,6,6,6,6,10,13,0,35,0,700
Straight Sword,Weathered Straight Sword,Weathered Magic Straight Sword,2050800,1103004,0,4,0,0,0,6,6,6,6,10,13,38,0,0,800
Straight Sword,Weathered Straight Sword,Weathered Cold Straight Sword,2050900,1103011,0,4,0,0,0,6,6,6,6,30,39,39,0,0,900
Straight Sword,Weathered Straight Sword,Weathered Poison Straight Sword,2051000,1103009,0,0,0,0,0,6,6,6,6,32,41,0,0,30,1000
Straight Sword,Weathered Straight Sword,Weathered Blood Straight Sword,2051100,1103010,0,0,0,0,0,6,6,6,6,32,41,0,0,30,1100
Straight Sword,Weathered Straight Sword,Weathered Occult Straight Sword,2051200,1103012,7,0,0,0,0,6,6,6,6,13,17,0,0,66,1200
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Straight Sword,2040000,1104000,0,0,0,0,0,6,6,6,6,36,36,0,0,0,0
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Heavy Straight Sword,2040100,1104001,1,0,0,0,0,6,6,6,6,42,0,0,0,0,100
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Keen Straight Sword,2040200,1104002,2,0,0,0,0,6,6,6,6,14,40,0,0,0,200
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Quality Straight Sword,2040300,1104003,8,0,0,0,0,6,6,6,6,50,50,0,0,0,300
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Fire Straight Sword,2040400,1104005,0,0,4,0,0,6,6,6,6,29,7,0,0,0,400
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Flame Art Straight Sword,2040500,1104006,0,0,4,0,0,6,6,6,6,7,7,0,34,0,500
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Lightning Straight Sword,2040600,1104007,0,0,0,4,0,6,6,6,6,7,29,0,0,0,600
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Sacred Straight Sword,2040700,1104008,0,0,0,0,4,6,6,6,6,7,7,0,34,0,700
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Magic Straight Sword,2040800,1104004,0,4,0,0,0,6,6,6,6,5,5,34,0,0,800
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Cold Straight Sword,2040900,1104011,0,4,0,0,0,6,6,6,6,32,32,32,0,0,900
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Poison Straight Sword,2041000,1104009,0,0,0,0,0,6,6,6,6,32,32,0,0,30,1000
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Blood Straight Sword,2041100,1104010,0,0,0,0,0,6,6,6,6,32,32,0,0,30,1100
Straight Sword,Lordsworn's Straight Sword,Lordsworn's Occult Straight Sword,2041200,1104012,7,0,0,0,0,6,6,6,6,14,14,0,0,61,1200
Straight Sword,Noble's Slender Sword,Noble's Slender Sword,2230000,1105000,0,0,0,0,0,6,6,6,6,12,70,0,0,0,0
Straight Sword,Noble's Slender Sword,Noble's Heavy Slender Sword,2230100,1105001,1,0,0,0,0,6,6,6,6,50,0,0,0,0,100
Straight Sword,Noble's Slender Sword,Noble's Keen Slender Sword,2230200,1105002,2,0,0,0,0,6,6,6,6,8,66,0,0,0,5000
Straight Sword,Noble's Slender Sword,Noble's Quality Slender Sword,2230300,1105003,8,0,0,0,0,6,6,6,6,57,57,0,0,0,300
Straight Sword,Noble's Slender Sword,Noble's Fire Slender Sword,2230400,1105005,0,0,4,0,0,6,6,6,6,38,8,0,0,0,400
Straight Sword,Noble's Slender Sword,Noble's Flame Art Slender Sword,2230500,1105006,0,0,4,0,0,6,6,6,6,4,21,0,40,0,500
Straight Sword,Noble's Slender Sword,Noble's Lightning Slender Sword,2230600,1105007,0,0,0,4,0,6,6,6,6,8,38,0,0,0,600
Straight Sword,Noble's Slender Sword,Noble's Sacred Slender Sword,2230700,1105008,0,0,0,0,4,6,6,6,6,4,21,0,40,0,700
Straight Sword,Noble's Slender Sword,Noble's Magic Slender Sword,2230800,1105004,0,4,0,0,0,6,6,6,6,4,21,45,0,0,800
Straight Sword,Noble's Slender Sword,Noble's Cold Slender Sword,2230900,1105011,0,4,0,0,0,6,6,6,6,10,63,36,0,0,900
Straight Sword,Noble's Slender Sword,Noble's Poison Slender Sword,2231000,1105009,0,0,0,0,0,6,6,6,6,11,66,0,0,30,1000
Straight Sword,Noble's Slender Sword,Noble's Blood Slender Sword,2231100,1105010,0,0,0,0,0,6,6,6,6,11,66,0,0,30,1100
Straight Sword,Noble's Slender Sword,Noble's Occult Slender Sword,2231200,1105012,7,0,0,0,0,6,6,6,6,4,28,0,0,73,1200
Straight Sword,Cane Sword,Cane Sword,2210000,1106000,0,0,0,0,0,6,6,6,6,20,55,0,0,0,0
Straight Sword,Cane Sword,Heavy Cane Sword,2210100,1106001,1,0,0,0,0,6,6,6,6,43,0,0,0,0,100
Straight Sword,Cane Sword,Keen Cane Sword,2210200,1106002,2,0,0,0,0,6,6,6,6,15,56,0,0,0,5000
Straight Sword,Cane Sword,Quality Cane Sword,2210300,1106003,8,0,0,0,0,6,6,6,6,50,50,0,0,0,300
Straight Sword,Cane Sword,Fire Cane Sword,2210400,1106005,0,0,4,0,0,6,6,6,6,32,7,0,0,0,400
Straight Sword,Cane Sword,Flame Art Cane Sword,2210500,1106006,0,0,4,0,0,6,6,6,6,6,16,0,31,0,500
Straight Sword,Cane Sword,Lightning Cane Sword,2210600,1106007,0,0,0,4,0,6,6,6,6,7,32,0,0,0,600
Straight Sword,Cane Sword,Sacred Cane Sword,2210700,1106008,0,0,0,0,4,6,6,6,6,6,16,0,31,0,700
Straight Sword,Cane Sword,Magic Cane Sword,2210800,1106004,0,4,0,0,0,6,6,6,6,6,16,36,0,0,800
Straight Sword,Cane Sword,Cold Cane Sword,2210900,1106011,0,4,0,0,0,6,6,6,6,18,49,30,0,0,900
Straight Sword,Cane Sword,Poison Cane Sword,2211000,1106009,0,0,0,0,0,6,6,6,6,19,52,0,0,30,1000
Straight Sword,Cane Sword,Blood Cane Sword,2211100,1106010,0,0,0,0,0,6,6,6,6,19,52,0,0,30,1100
Straight Sword,Cane Sword,Occult Cane Sword,2211200,1106012,7,0,0,0,0,6,6,6,6,8,22,0,0,61,1200
Straight Sword,Warhawk's Talon,Warhawk's Talon,2240000,1107000,0,0,0,0,0,6,6,6,6,28,60,0,0,0,0
Straight Sword,Warhawk's Talon,Warhawk's Heavy Talon,2240100,1107001,1,0,0,0,0,6,6,6,6,48,0,0,0,0,100
Straight Sword,Warhawk's Talon,Warhawk's Keen Talon,2240200,1107002,2,0,0,0,0,6,6,6,6,8,66,0,0,0,5000
Straight Sword,Warhawk's Talon,Warhawk's Quality Talon,2240300,1107003,8,0,0,0,0,6,6,6,6,56,56,0,0,0,300
Straight Sword,Warhawk's Talon,Warhawk's Fire Talon,2240400,1107005,0,0,4,0,0,6,6,6,6,38,8,0,0,0,400
Straight Sword,Warhawk's Talon,Warhawk's Flame Art Talon,2240500,1107006,0,0,4,0,0,6,6,6,6,8,18,0,41,0,500
Straight Sword,Warhawk's Talon,Warhawk's Lightning Talon,2240600,1107007,0,0,0,4,0,6,6,6,6,8,38,0,0,0,600
Straight Sword,Warhawk's Talon,Warhawk's Sacred Talon,2240700,1107008,0,0,0,0,4,6,6,6,6,8,18,0,41,0,700
Straight Sword,Warhawk's Talon,Warhawk's Magic Talon,2240800,1107004,0,4,0,0,0,6,6,6,6,8,18,45,0,0,800
Straight Sword,Warhawk's Talon,Warhawk's Cold Talon,2240900,1107011,0,4,0,0,0,6,6,6,6,25,54,39,0,0,900
